Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Chemical processing machine setters operators and tenders,71451,5746,62159,5490,9292,1472,13,2,57561,2838,59017,1911,42215,4251,71.5,8,2022,0.018753408540986834,chemical processing machine setters operators and tenders,,,51-9010,,"Chemical Processing Machine Setters, Operators, and Tenders",chemical processing machine setters operators and tenders,51-9010,,,,
Crushing grinding polishing mixing and blending workers,63738,4962,57099,4280,6639,1552,10.4,2.1,50067,2311,50893,2285,41344,3240,(X),(X),2022,0.013399039959493283,crushing grinding polishing mixing and blending workers,,,51-9020,,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",crushing grinding polishing mixing and blending workers,51-9020,,,,
Cutting workers,47959,4055,35512,3220,12447,2049,26,3.4,38294,1049,39666,1286,33708,2077,85,5.8,2022,0.025120929,cutting workers,,,51-9030,,Cutting Workers,cutting workers,51-9030,,,,
Extruding forming pressing and compacting machine setters operators and tenders,21968,2626,17867,2315,4101,1253,18.7,5,44584,3369,48087,2460,32503,4044,(X),(X),2022,0.008276768,extruding forming pressing and compacting machine setters operators and tenders,,,51-9040,,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",extruding forming pressing and compacting machine setters operators and tenders,51-9040,,,,
Extruding forming pressing and compacting machine setters operators and tenders,21968,2626,17867,2315,4101,1253,18.7,5,44584,3369,48087,2460,32503,4044,(X),(X),2022,0.008276768,extruding forming pressing and compacting machine setters operators and tenders,,,,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",extruding forming pressing and compacting machine setters operators and tenders,51-9041,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
Furnace kiln oven drier and kettle operators and tenders,9788,1821,7795,1655,1993,796,20.4,7.4,51371,6537,57159,14960,36413,8531,(X),(X),2022,0.004022336,furnace kiln oven drier and kettle operators and tenders,,,51-9050,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",furnace kiln oven drier and kettle operators and tenders,51-9050,,,,
Furnace kiln oven drier and kettle operators and tenders,9788,1821,7795,1655,1993,796,20.4,7.4,51371,6537,57159,14960,36413,8531,(X),(X),2022,0.004022336,furnace kiln oven drier and kettle operators and tenders,,,,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",furnace kiln oven drier and kettle operators and tenders,51-9051,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
Inspectors testers sorters samplers and weighers,699757,17468,440509,12522,259248,10540,37,1.1,48725,889,55163,1127,40573,564,73.6,1.9,2022,0.5232225201715189,inspectors testers sorters samplers and weighers,,,51-9060,,"Inspectors, Testers, Sorters, Samplers, and Weighers",inspectors testers sorters samplers and weighers,51-9060,,,,
Inspectors testers sorters samplers and weighers,699757,17468,440509,12522,259248,10540,37,1.1,48725,889,55163,1127,40573,564,73.6,1.9,2022,0.5232225201715189,inspectors testers sorters samplers and weighers,,,,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",inspectors testers sorters samplers and weighers,51-9061,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Jewelers and precious stone and metal workers,30095,3311,19291,2476,10804,1891,35.9,4.7,41976,3508,46905,6105,35888,5224,76.5,14.2,2022,0.021804974803790546,jewelers and precious stone and metal workers,,,51-9070,,Jewelers and Precious Stone and Metal Workers,jewelers and precious stone and metal workers,51-9070,,,,
Jewelers and precious stone and metal workers,30095,3311,19291,2476,10804,1891,35.9,4.7,41976,3508,46905,6105,35888,5224,76.5,14.2,2022,0.021804974803790546,jewelers and precious stone and metal workers,,,,51-9071,Jewelers and Precious Stone and Metal Workers,jewelers and precious stone and metal workers,51-9071,51-9071.00,Jewelers and Precious Stone and Metal Workers,51-9071,Jewelers and Precious Stone and Metal Workers
Jewelers and precious stone and metal workers,30095,3311,19291,2476,10804,1891,35.9,4.7,41976,3508,46905,6105,35888,5224,76.5,14.2,2022,0.021804974803790546,jewelers and precious stone and metal workers,,,,51-9071,Jewelers and Precious Stone and Metal Workers,jewelers and precious stone and metal workers,51-9071,51-9071.06,Gem and Diamond Workers,51-9071,Jewelers and Precious Stone and Metal Workers
Dental and ophthalmic laboratory technicians and medical appliance technicians,67860,4290,29782,2569,38078,3428,56.1,3.1,42269,1624,50708,1796,37570,1768,74.1,4.6,2022,0.076850225,dental and ophthalmic laboratory technicians and medical appliance technicians,,,51-9080,,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,,,,
Packaging and filling machine operators and tenders,196347,8662,92667,5384,103680,6383,52.8,2,36241,562,40622,886,33571,1016,82.6,3,2022,0.209250258,packaging and filling machine operators and tenders,,,51-9110,,Packaging and Filling Machine Operators and Tenders,packaging and filling machine operators and tenders,51-9110,,,,
Packaging and filling machine operators and tenders,196347,8662,92667,5384,103680,6383,52.8,2,36241,562,40622,886,33571,1016,82.6,3,2022,0.209250258,packaging and filling machine operators and tenders,,,,51-9111,Packaging and Filling Machine Operators and Tenders,packaging and filling machine operators and tenders,51-9111,51-9111.00,Packaging and Filling Machine Operators and Tenders,51-9111,Packaging and Filling Machine Operators and Tenders
Painting workers,116186,7149,105601,6794,10585,1791,9.1,1.5,45085,2422,45988,2851,41332,3030,89.9,8.5,2022,0.021362982,painting workers,,,51-9120,,Painting Workers,painting workers,51-9120,,,,
Photographic process workers and processing machine operators,21653,2317,13800,1869,7853,1328,36.3,5,74414,8833,85451,4992,57232,7152,(X),(X),2022,0.015849173189019544,photographic process workers and processing machine operators,,,51-9150,,Photographic Process Workers and Processing Machine Operators,photographic process workers and processing machine operators,51-9150,,,,
Photographic process workers and processing machine operators,21653,2317,13800,1869,7853,1328,36.3,5,74414,8833,85451,4992,57232,7152,(X),(X),2022,0.015849173189019544,photographic process workers and processing machine operators,,,,51-9151,Photographic Process Workers and Processing Machine Operators,photographic process workers and processing machine operators,51-9151,51-9151.00,Photographic Process Workers and Processing Machine Operators,51-9151,Photographic Process Workers and Processing Machine Operators
Adhesive bonding machine operators and tenders,9222,1620,6466,1217,2756,1090,29.9,9.4,43641,3760,45423,2601,36524,8992,(X),(X),2022,0.005562246,adhesive bonding machine operators and tenders,,,,51-9191,Adhesive Bonding Machine Operators and Tenders,adhesive bonding machine operators and tenders,51-9191,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9191,Adhesive Bonding Machine Operators and Tenders
Etchers and engravers,5827,1951,3707,1225,2120,1120,36.4,11.8,48060,4732,50187,11169,47922,6125,(X),(X),2022,0.004278651,etchers and engravers,,,,51-9194,Etchers and Engravers,etchers and engravers,51-9194,51-9194.00,Etchers and Engravers,51-9194,Etchers and Engravers
Molders shapers and casters except metal and plastic,20795,2465,17961,2245,2834,762,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719669,molders shapers and casters except metal and plastic,,,,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic,51-9195,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
Molders shapers and casters except metal and plastic,20795,2465,17961,2245,2834,762,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719669,molders shapers and casters except metal and plastic,,,,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic,51-9195,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
Molders shapers and casters except metal and plastic,20795,2465,17961,2245,2834,762,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719669,molders shapers and casters except metal and plastic,,,,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic,51-9195,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
Molders shapers and casters except metal and plastic,20795,2465,17961,2245,2834,762,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022,0.005719669,molders shapers and casters except metal and plastic,,,,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",molders shapers and casters except metal and plastic,51-9195,51-9195.05,"Potters, Manufacturing",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
Paper goods machine setters operators and tenders,16603,2568,13865,2275,2738,1179,16.5,6.4,47270,7161,50297,5176,32048,11605,(X),(X),2022,0.005525918,paper goods machine setters operators and tenders,,,,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",paper goods machine setters operators and tenders,51-9196,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
Tire builders,12077,2378,11423,2367,654,388,5.4,3.3,52417,3519,52318,3343,57568,11983,(X),(X),2022,0.001319924,tire builders,,,,51-9197,Tire Builders,tire builders,51-9197,51-9197.00,Tire Builders,51-9197,Tire Builders
Helpersproduction workers,39353,3888,28822,3085,10531,2187,26.8,4.5,33553,1545,34594,2339,31652,2216,91.5,8.7,2022,0.021253998,helpersproduction workers,,,,51-9198,Helpers--Production Workers,helpersproduction workers,51-9198,51-9198.00,Helpers--Production Workers,51-9198,Helpers--Production Workers
Other production equipment operators and tenders,7919,1876,7150,1816,769,487,9.7,6,46932,7885,49250,8157,36584,11382,(X),(X),2022,0.00155202,chemical equipment operators and tenders,,,,51-9011,Chemical Equipment Operators and Tenders,chemical equipment operators and tenders,51-9011,51-9011.00,Chemical Equipment Operators and Tenders,51-9011,Chemical Equipment Operators and Tenders
Other production equipment operators and tenders,7919,1876,7150,1816,769,487,9.7,6,46932,7885,49250,8157,36584,11382,(X),(X),2022,0.00155202,cooling and freezing equipment operators and tenders,,,,51-9193,Cooling and Freezing Equipment Operators and Tenders,cooling and freezing equipment operators and tenders,51-9193,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders
Other production workers,1132472,20931,807555,17817,324917,11472,28.7,0.9,41502,258,44766,554,35137,658,78.5,1.9,2022,0.6557577747429852,other production workers,,,,51-9199,"Production Workers, All Other",other production workers,51-9199,51-9199.00,"Production Workers, All Other",51-9199,"Production Workers, All Other"
Transportation and Material Moving Occupations,8331203,57130,6823161,51856,1508042,22805,18.1,0.2,42070,127,44860,252,33560,367,74.8,1,2022,3.0435781019120607,transportation and material moving occupations,53-0000,,,,Transportation and Material Moving Occupations,transportation and material moving occupations,53-0000,,,,
Transportation Occupations,4340588,40026,3853734,37460,486854,12495,11.2,0.3,51768,212,53242,294,38252,881,71.8,1.7,2022,0.9825841543062424,transportation occupations,,,,,,,,,,,
Supervisors of transportation and material moving workers,285052,9738,213950,8711,71102,4130,24.9,1.3,54626,1262,59654,1725,42902,1908,71.9,3.8,2022,0.14350030715467563,supervisors of transportation and material moving workers,,53-1000,,,Supervisors of Transportation and Material Moving Workers,supervisors of transportation and material moving workers,53-1000,,,,
Aircraft pilots and flight engineers,111069,6318,104863,5974,6206,1261,5.6,1.1,128652,5403,131647,7583,94593,27673,(X),(X),2022,0.012525145652751216,aircraft pilots and flight engineers,,,53-2010,,Aircraft Pilots and Flight Engineers,aircraft pilots and flight engineers,53-2010,,,,
Air traffic controllers and airfield operations specialists,29350,3246,23364,2667,5986,1551,20.4,4.3,110239,8465,114451,11467,102283,6599,(X),(X),2022,0.012081134688586653,air traffic controllers and airfield operations specialists,,,53-2020,,Air Traffic Controllers and Airfield Operations Specialists,air traffic controllers and airfield operations specialists,53-2020,,,,
Flight attendants,54758,4401,15743,2350,39015,4003,71.2,3.9,53980,2833,60226,4349,51583,2978,85.6,7.4,2022,0.078741308,flight attendants,,,53-2030,,Flight Attendants,flight attendants,53-2030,,,,
Flight attendants,54758,4401,15743,2350,39015,4003,71.2,3.9,53980,2833,60226,4349,51583,2978,85.6,7.4,2022,0.078741308,flight attendants,,,,53-2031,Flight Attendants,flight attendants,53-2031,53-2031.00,Flight Attendants,53-2031,Flight Attendants
Ambulance drivers and attendants except emergency medical technicians,5989,1473,4103,1357,1886,935,31.5,14.1,40411,5144,41829,2866,31395,8820,(X),(X),2022,0.003806385,ambulance drivers and attendants except emergency medical technicians,,,53-3010,,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",ambulance drivers and attendants except emergency medical technicians,53-3010,,,,
Ambulance drivers and attendants except emergency medical technicians,5989,1473,4103,1357,1886,935,31.5,14.1,40411,5144,41829,2866,31395,8820,(X),(X),2022,0.003806385,ambulance drivers and attendants except emergency medical technicians,,,,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",ambulance drivers and attendants except emergency medical technicians,53-3011,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
Bus drivers school,108128,6343,52067,4582,56061,4219,51.8,2.8,35095,1101,38930,1775,32168,885,82.6,4.5,2022,0.11314408482740669,bus drivers school,,,,53-3051,"Bus Drivers, School",bus drivers school,53-3051,53-3051.00,"Bus Drivers, School",53-3051,"Bus Drivers, School"
Bus drivers transit and intercity,153426,7046,108057,5858,45369,3612,29.6,1.9,50381,1042,53593,1306,40121,2243,74.9,4.6,2022,0.091565152,bus drivers transit and intercity,,,,53-3052,"Bus Drivers, Transit and Intercity",bus drivers transit and intercity,53-3052,53-3052.00,"Bus Drivers, Transit and Intercity",53-3052,"Bus Drivers, Transit and Intercity"
Driversales workers and truck drivers,2910524,34364,2744927,33226,165597,8528,5.7,0.3,52583,324,53448,339,37058,1207,69.3,2.3,2022,0.33421310742163113,driversales workers and truck drivers,,,53-3030,,Driver/Sales Workers and Truck Drivers,driversales workers and truck drivers,53-3030,,,,
